Date,Total System Usage,Area(This is for all Oahu,Energy Type,Energy Type Usage
12/31/2013 12:00:00,991.7,Total_System_Generation,Fossil_Fuel,644.1
1/1/2014 12:00:00,772,Total_System_Generation,Coal,179.5
1/1/2014 12:00:00,772,Total_System_Generation,BioFuel,0
1/1/2014 12:00:00,772,Total_System_Generation,WindFarm,1.5
1/1/2014 12:00:00,772,Total_System_Generation,Solar,7.6
1/1/2014 12:00:00,772,Total_System_Generation,Waste2Energy,45.4
1/1/2014 12:00:00,772,Total_System_Generation,Fossil_Fuel,538
1/2/2014 12:00:00,1,Total_System_Generation,Coal,179.2
1/2/2014 12:00:00,1,Total_System_Generation,BioFuel,0
1/2/2014 12:00:00,1,Total_System_Generation,WindFarm,19.1
1/2/2014 12:00:00,1,Total_System_Generation,Solar,158
1/2/2014 12:00:00,1,Total_System_Generation,Waste2Energy,42.6
1/2/2014 12:00:00,1,Total_System_Generation,Fossil_Fuel,709.5
1/3/2014 12:00:00,954.9,Total_System_Generation,Coal,179.8
1/3/2014 12:00:00,954.9,Total_System_Generation,BioFuel,0
1/3/2014 12:00:00,954.9,Total_System_Generation,WindFarm,28.7
1/3/2014 12:00:00,954.9,Total_System_Generation,Solar,112.5
1/3/2014 12:00:00,954.9,Total_System_Generation,Waste2Energy,43.7
1/3/2014 12:00:00,954.9,Total_System_Generation,Fossil_Fuel,590.2
1/4/2014 12:00:00,713.2,Total_System_Generation,Coal,130.4
1/4/2014 12:00:00,713.2,Total_System_Generation,BioFuel,0
1/4/2014 12:00:00,713.2,Total_System_Generation,WindFarm,11.8
1/4/2014 12:00:00,713.2,Total_System_Generation,Solar,8.2
1/4/2014 12:00:00,713.2,Total_System_Generation,Waste2Energy,45.7
1/4/2014 12:00:00,713.2,Total_System_Generation,Fossil_Fuel,517.1
1/5/2014 12:00:00,688,Total_System_Generation,Coal,162.8
1/5/2014 12:00:00,688,Total_System_Generation,BioFuel,0
1/5/2014 12:00:00,688,Total_System_Generation,WindFarm,12
1/5/2014 12:00:00,688,Total_System_Generation,Solar,3.9
1/5/2014 12:00:00,688,Total_System_Generation,Waste2Energy,46
1/5/2014 12:00:00,688,Total_System_Generation,Fossil_Fuel,463.3
1/6/2014 12:00:00,891.9,Total_System_Generation,Coal,179.9
1/6/2014 12:00:00,891.9,Total_System_Generation,BioFuel,0
